Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Understanding the materials used in foods-Food materials science,"Stanley, D. W.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,1992
,2,"Food Allergens : Included here are the findings of research investigating the efficacy of cleaning regimes on eliminating gliadin and protein residues on food processing equipment and how peanut and nut allergic consumers use food packaging and labelling to assess risks from food. In addition there is a report on the global food allergy and intolerance products market, a paper on the prevalence of food allergy in Australia and a report on the ILSI Allergen Exposure Management Workshop",unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE &amp; TECHNOLOGY,2011
,3,"Survey of Vinyl Chloride content of polyvinyl chloride for food contact and of foods. The second report of the Steering Group on food surveillance: The Working Party on Vinyl Chloride. Ministry of Agriculture, Fisheries and Food. Food Surveillance Paper No. 2. HMSO, London, 1978. pp. iv + 16. £0.60",unknown,Pergamon Press,1979
,4,"Why You Should Let Your Kids Play With Their Food What happens when you reduce salt, sugar and fat in food? Does sweet food make you happier? What's in latest food flavour sensation matcha?",unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2017
,5,Obesity: America's Number One Food Issue: Who is responsible for the problem? The solution? What role do food ingredients and food formulations play? Prepared Foods' annual ``R&amp;D Trends Survey: Weight Management Formulations'' offers insights and queries food product developers on these questions,unknown,DELTA COMMUNICATIONS INC,2011
,6,"The Rise of Food Renegades With financial support from Silicon Valley and a growing distrust of `Big Food' by Millennials, entrepreneurial companies are disrupting the food chain through product innovation, storytelling, and home delivery services","Despain,  David",INSTITUTE OF FOOD TECHNOLOGISTS,2016
,7,"The surveillance of food contamination in the United Kingdom. The first report of the Steering Group on food surveillance: Ministry of Agriculture, Fisheries and Food. Food Surveillance Paper No. 1. HMSO, London, 1978. pp. v + 38. £0.90",unknown,Pergamon Press,1979
,8,Traditional foods: challenges facing the European food industry,"Jordana, J.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,2000
,9,Scientific Committee for Food: Procedures and Programmes for European Food Safety,"Van der Heijden, C. A.",Malaysian Institute of Food Technology,1990
,10,Determination of Low Levels of Aziridine in Food-Simulating Liquids by Capillary Gas Chromatography,"Demertzis, P. G.; Franz, R.; Piringer, O.",Elsevier,1994
,11,Fermented foods and food safety,"Nout, M. J. R.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,1994
,12,"Comfort Food Re-boot: Comfort foods have been known as near-polar opposites of ``health'' foods. However, today's ingredient technology has brought specialty oils, fat replacers, sodium reducers, functional starches and more into the creation of comfort items consumers know and love. These include mac 'n cheese, pot pies, green bean casserole; or perhaps something sweet, such as a Devil's Food cake, banana cream pie, an apple turnover or cherry pie",unknown,DELTA COMMUNICATIONS INC,2013
,13,Factors Affecting Food Away from Home: Are Food-Secure and Food-Insecure Households Different?,"Pan, S.; Jensen, H. H.; Malaga, J.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2007
,14,Reducing salt in food: Leatherhead Food International has joined forces with the food industry to investigate salt reduction in food,"Block, R. W.",EXPOCONSULT PUBLISHERS,2004
,15,"Exploring the relationship among food-related values, food-related lifestyle and food-related behavior as lever for changing dietary habits of food desert residents","Thomas,  T.; Gunden,  C.",TEKNOSCIENZE S.R.L.,2017
,16,IFST Appropriate Food Technology Group: Fair Traded Foods/Maya Gold Chocolate - Case study of a successful fair-traded product,"Wright, S.",IFST,1995
,17,"C-Stores Raise the Bar on Convenience Foods: As tobacco sales fall and higher gas prices lead to less driving, convenience stores shift their attention to growing their food/beverage and foodservice segments with an eye on elevating product variety and quality","Hensel, K.",INSTITUTE OF FOOD TECHNOLOGISTS,2012
,18,"Food Ingredients for Outer Beauty: Foods for beauty and health remain popular. Attendees of Prepared Foods' 2009 R&amp;D Applications Seminars-East heard information on ingredients that help protect skin from sun damage, water loss, oxidative stress and other damaging environmental factors",unknown,DELTA COMMUNICATIONS INC,2010
,19,"The SAFE FOODS framework for integrated risk analysis of food: An approach designed for science-based, transparent, open and participatory management of food safety","Knudsen, I.","Elsevier Science B.V., Amsterdam.",2010
,20,Energy Prices Up-Food Prices Up-What is the Impact on Aquatic Food?,unknown,FOOD PRODUCTS PRESS,2008
,21,Food-Security Status and Food-Purchase Decisions of Low-Income Households in Tennessee,"Tegegne, F.; Godwin, S.; Speller-Henderson, L.; Dirkson, M.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2005
,22,Are pulses poor man's food or a future super food?,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2016
,23,DNA-based methods for detection of food-borne bacterial pathogens,"Olsen, J. E.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,2000
,24,Migration of fluorochemical paper additives from food-contact paper into foods and food simulants,"Begley, T. H.; Hsu, W.; Noonan, G.; Diachenko, G.",Taylor & Francis,2008
,25,Iron deficiency and iron fortified foods-a review,"Martinez-Navarrete, N.;Camacho, M. M.;Martinez-Lahuerta, J.;Martinez-Monzo, J.;Fito, P.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,2002
,26,"Food Science, 3D Focus Prepared Foods' R&D Seminars explore food, beverage trends and technologies",unknown,DELTA COMMUNICATIONS INC,2015
,27,Food‐grade carrageenans and their implications in health and disease,"Liu, Fang; Hou, Pengfen; Zhang, Hui; Tang, Qingjuan; Xue, Changhu; Li, Robert W.",Wiley-Blackwell,2021
,28,Determination of protein in foods: comparison of net protein and crude protein (N x 6.25) value,"Salo-Vaeaenaenen, P. P.; Koivistoinen, P. E.",Elsevier,1995
,29,"Givaduan has developed new proprietary technology that will help food manufacturers address the issue of high salt levels in processed food. As part of its TasteSolutions&trade; program, Givaudan has developed an extensive portfolio of building blocks and ingredients to help its flavourists enhance salt perception in low sodium applications",unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE &amp; TECHNOLOGY,2009
,30,Food chemical safety: the need for a new 'whole food' approach?,"Lindsay, D. G.",INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,1998
,31,Street Food: Crossing Cultures with Local Inspiration A look inside the street food and street-inspired restaurants in Los Angeles provides a glimpse of how the next wave of street food in America might take shape,unknown,WEEKS PUBLISHING CO.,2011
,32,"Experimental and numerical simulations of the flow of ""liquid foods"" in rotating cans","Hughes, J. P.; James, P. W.; Jones, T. E. R.","Zurich:; ETH Zurich, Laboratory of Food Process Engineering,",2000
,33,"Food Policy, Trade, Markets, and Genetically Modified Foods: A Review of the Literature on the Science, Technology, Politics, and Economics of Labeling","Ekanem, E.; Mafuyai-Ekanem, M.",FDRS FOOD DISTRIBUTION RESEARCH SOCIETY,2004
,34,"Food, Medicine & Health Gene Silencing Technology and Food: RNA Interference Is Coming of Age","Clemens, Roger",INSTITUTE OF FOOD TECHNOLOGISTS,2015
,35,"Parental feeding practices, food neophobia, and child food preferences: What combination of factors results in children eating a variety of foods?","Kaar, Jill L.; Shapiro, Allison L.B.; Fell, Donna M.; Johnson, Susan L.","Elsevier Science B.V., Amsterdam.",2016
,36,Functional Foods: Beverages with oats and continued growth in Greek-style yogurt products are two trends in functional food,unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2013
,37,Migration by `direct' or `indirect' food contact? `Dry' and `wetting' foods? Experimental data for `touching' contact of dry foods with paper and board,"Eicher, A.; Biedermann, M.; Zurfluh, M.; Grob, K.",Taylor & Francis,2015
,38,Migration by ‘direct’ or ‘indirect’ food contact? ‘Dry’ and ‘wetting’ foods? Experimental data for ‘touching’ contact of dry foods with paper and board,"Eicher, Angela; Biedermann, Maurus; Zurfluh, Michael; Grob, Koni",Taylor & Francis,2015
,39,Food-handling Behaviors of Student Volunteers in a University Food Recovery Program,unknown,International Association for Food Protection,2018
,40,Let food be thy medicine and medicine be thy food: A bibliometric analysis of the most cited papers focusing on nutraceuticals and functional foods,"Yeung, Andy Wai Kan; Mocan, Andrei; Atanasov, Atanas G.","Elsevier Science B.V., Amsterdam.",2018
,41,Assessing Management Perspectives of a Safe Food-handling Label for Casual Dining Take-out Food,"Surgeoner, B.V.; MacLaurin, T.; Powell, D.A.",International Association for Food Protection,2009
,42,The Business Challenge of Positioning Products at the Food/Drug Interface,"Wrick, K. L.",Expoconsult Publishers,1991
,43,"Sustainable food, ethical consumption and responsible innovation: insights from the slow food and ""low carbon food"" movements in Taiwan","Lin, Yi-Chieh",Taylor & Francis,2020
,44,Food Waste and Upcycled Foods: Can a Logo Increase Acceptance of Upcycled Foods?,"Bhatt, Siddharth; Ye, Hongjun; Deutsch, Jonathan; Jeong, Haeyoung; Zhang, Jintao; Suri, Rajneesh",Taylor & Francis,2021
,45,No such thing as unhealthy food? We take a look at the industry double-speak,unknown,FOOD COMMISSION (UK) LTD,2003
,46,Risk-benefit analysis of foods: methods and approaches,"Martinson, N.",Tekno Scienze,2006
,47,"Plant Foods: This feature touches on a wide range of developments in this important food category - from product launches to consumer issues, business initiatives and research",unknown,AUSTRALIAN INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,2007
,48,Hospital food: a painful groundhog day,unknown,FOOD COMMISSION (UK) LTD,2009
,49,Minimally processed foods are more satiating and less hyperglycemic than ultra-processed foods: a preliminary study with 98 ready-to-eat foods,"Fardet, A.",Royal Society of Chemistry,2016
,50,Food-handling Practices and Operators' Food Safety Attitudes at Faith-based Louisiana Organizations That Provided Hurricane Evacuee Shelters in 2005,"Kwon, J.; Ryu, D.; Zottarelli, L. K.",International Association for Food Protection,2007
,51,Encounters with Extreme Foods: Neophilic/Neophobic Tendencies and Novel Foods,"Veeck, A.",FOOD PRODUCT PRESS,2010
,52,The Business of Food: Preserving Culinary Traditions Keeps the Family Fed in the Philippines,"Lim-Castillo, P.","Bristol:; Footwork,",2003
,53,Development and use of microbiological criteria for foods: Guidance for those involved in using and interpreting microbiological criteria for foods,unknown,INSTITUTE OF FOOD SCIENCE & TECHNOLOGY,1997
,54,Chemical Contaminants in Foods: Health Risks and Public Perception Knowing what types of information consumers are looking for may be the first step in helping to better explain potential risks and restore trust in the food supply,"Lipp,  Markus; Chase,  Christina G.",INSTITUTE OF FOOD TECHNOLOGISTS,2015
,55,Virtuous Food: `Conscientious Production' as Moral Imperative,"DeSoucey, M.; Fine, G.A.",Totnes; Prospect,2008
,56,Prevalence of the main food-borne pathogens in retail food under the national food surveillance system in Japan,"Hara-Kudo, Y.; Konuma, H.; Kamata, Y.; Miyahara, M.; Takatori, K.; Onoue, Y.; Sugita-Konishi, Y.; Ohnishi, T.",Taylor & Francis,2013
,57,Food allergy with special reference to genetically modified foods: a review,"Nayak, S.K.",ASSOC OF FOOD SCIENTISTS &amp; TECHNOLOGISTS (INDIA),2008
,58,Wild Food: The Call of the Domestic,"Albala, K.","Totnes, Devon:; Prospect books,",2004
,59,"Food-related personality traits, food choice motives and food intake: Mediator and moderator relationships","Eertmans, A.; Victoir, A.; Vansant, G.; Van den Bergh, O.","Elsevier Science B.V., Amsterdam.",2005
,60,Food-poverty status and food insecurity in rural West Lombok based on mothers' food expenditure equivalency,"Rosalina, T.; Wibowo, L.; Kielmann, A. A.; Usfar, A. A.",UNITED NATIONS UNIVERSITY PRESS,2007
,61,Food Microbe Tracker: A Web-Based Tool for Storage and Comparison of Food-Associated Microbes,"Vangay, P.; Fugett, E.B.; Sun, Q.; Wiedmann, M.",INTERNATIONAL ASSOCIATION FOR FOOD PROTECTION,2013
,62,Metal Contamination of Food-Its Significance for Food Quality and Human Health,"Kitts, D. D.",Published on behalf of the Canadian Institute of Food Science and Technology by Elsevier Applied Science,2003
,63,Wild Plant Foods: Panacea or just a Picnic?,"Robbins, C.","Totnes, Devon:; Prospect books,",2004
,64,But I saw it on TV!' - How do you get children to eat real food?,"Whiting, M.","Bristol:; Footwork,",2003
,65,"Consumer Trends and Marketing State and national dairy awards promote dairy food quality to the consumer, Sunny Queen show that `an egg a day is OK' and New Zealand researchers track consumer attitudes to meat based foods. We also report on local and inte",unknown,FOOD AUSTRALIA,2003
,66,Public perception of nanotechnology in foods: Nanotechnology has huge potential in both foods and food packaging,unknown,REED BUSINESS INFORMATION,2010
